"pointid","Year","Month","flow.condition","next.pixel","reach_id","buf.lake_id","flacc_km2","fllength_dec","strah_ord","flag_source","flag_conf","flag_mouth","flag_lake.in","flag_lake.trib","flag_lake.out","flag_main.chan","coord_x","coord_y","water.body","velocity_ms","veloc_px_ms","dis_m3s","fluv.wrt_min","lent.wrt_min","vel_ms.wb","wrt_min.wb","travel.time","travel.time_d","mouth.trav.time_d"
547615,2015,6,"high",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.561506187750097,NA,429.811721123354,0.534277282325368,NA,0.561506187750097,0.534277282325368,1083773.54279476,752.615699058395,752.615699058395
547615,2015,8,"low",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.287983700337076,NA,225.892022508585,1.04172562422408,NA,0.287983700337076,1.04172562422408,1088343.58749739,755.789320901688,755.789320901688
547615,2016,6,"high",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.561506187750097,NA,429.811721123354,0.534277282325368,NA,0.561506187750097,0.534277282325368,1088728.98299918,756.05695495395,756.05695495395
547615,2016,8,"low",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.287983700337076,NA,225.892022508585,1.04172562422408,NA,0.287983700337076,1.04172562422408,1179748.68472197,819.264676618324,819.264676618324
547615,2017,6,"high",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.561506187750097,NA,429.811721123354,0.534277282325368,NA,0.561506187750097,0.534277282325368,1182605.06783395,821.248263306607,821.248263306607
547615,2017,8,"low",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.287983700337076,NA,225.892022508585,1.04172562422408,NA,0.287983700337076,1.04172562422408,1175763.31244416,816.497074693723,816.497074693723
547615,2017,10,"low",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.287983700337076,NA,225.892022508585,1.04172562422408,NA,0.287983700337076,1.04172562422408,1207792.80511829,838.739635586344,838.739635586344
547615,2018,6,"high",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.561506187750097,NA,429.811721123354,0.534277282325368,NA,0.561506187750097,0.534277282325368,1078329.0377508,748.834816975663,748.834816975663
547615,2018,8,"low",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.287983700337076,NA,225.892022508585,1.04172562422408,NA,0.287983700337076,1.04172562422408,1242771.57006267,863.030289114324,863.030289114324
547615,2018,10,"low",NA,8138,"0",14114.412,6.00317,7,0,0,1,0,0,0,1,-63.8077083333,50.29625,"Fluvial",0.287983700337076,NA,225.892022508585,1.04172562422408,NA,0.287983700337076,1.04172562422408,1304319.30250693,905.771496432912,905.771496432912
